epoch,total,vq,recon,align,lr,task_stress_detection,task_glucose
0,122.25398254394531,0.7308743596076965,1.1107715368270874,9.039285659790039,0.0005,0.6965188980102539,119.36727142333984
1,122.06575012207031,0.5748345851898193,1.108670711517334,9.028428077697754,0.0005,0.6954811215400696,119.3382568359375
2,121.99623107910156,0.5322185754776001,1.1116424798965454,9.017537117004395,0.0004937319780454559,0.697167158126831,119.30926513671875
3,121.93427276611328,0.5069058537483215,1.1101332902908325,9.006606101989746,0.00047524221697560476,0.696331799030304,119.27530670166016
4,121.89068603515625,0.48607137799263,1.1094194650650024,8.995986938476562,0.0004454578706170075,0.6963518261909485,119.25395965576172
5,121.83760070800781,0.47001558542251587,1.1104737520217896,8.985984802246094,0.0004058724504646834,0.6910404562950134,119.22270965576172
6,121.79832458496094,0.4545973241329193,1.1109648942947388,8.976814270019531,0.00035847093477938953,0.694847047328949,119.19571685791016
7,121.76751708984375,0.4435647130012512,1.1114176511764526,8.96866226196289,0.0003056302334890786,0.6963382959365845,119.17504119873047
8,121.74462890625,0.4337712824344635,1.1107666492462158,8.961689949035645,0.00025,0.6945745348930359,119.16473388671875
9,121.71296691894531,0.42508482933044434,1.1104859113693237,8.955965995788574,0.00019436976651092142,0.6932607293128967,119.1437759399414
10,121.69591522216797,0.41738975048065186,1.109848141670227,8.95150375366211,0.00014152906522061048,0.6963297724723816,119.13212585449219
11,121.6836166381836,0.41048431396484375,1.1093436479568481,8.948246955871582,9.412754953531663e-05,0.6935761570930481,119.13006591796875
12,121.66558074951172,0.4040985703468323,1.109181523323059,8.946080207824707,5.454212938299255e-05,0.6908860802650452,119.12139892578125
13,121.66002655029297,0.39829182624816895,1.1103328466415405,8.944822311401367,2.4757783024395242e-05,0.6942007541656494,119.11788177490234
14,121.65144348144531,0.3928501605987549,1.1115002632141113,8.944252967834473,6.268021954544096e-06,0.6952394843101501,119.1131820678711
